Time ,Power
1:15 AM/ 11,
1:30 AM/ 11,
1:45 AM/ 11,
2:00 AM/ 11,
2:15 AM/ 11,
2:30 AM/ 11,
2:45 AM/ 11,
3:00 AM/ 11,
3:15 AM/ 11,
3:30 AM/ 11,
3:45 AM/ 11,
4:00 AM/ 11,
4:15 AM/ 11,
4:30 AM/ 11,
4:45 AM/ 11,
5:00 AM/ 11,0
5:15 AM/ 11,11.24
5:30 AM/ 11,50.57
5:45 AM/ 11,115.44
6:00 AM/ 11,178.49
6:15 AM/ 11,251.68
6:30 AM/ 11,372.95
6:45 AM/ 11,482.2
7:00 AM/ 11,849.63
7:15 AM/ 11,893.35
7:30 AM/ 11,1006.19
7:45 AM/ 11,1205.24
8:00 AM/ 11,778.92
8:15 AM/ 11,1899.95
8:30 AM/ 11,1733.95
8:45 AM/ 11,2530.03
9:00 AM/ 11,2939.6
9:15 AM/ 11,3036.7
9:30 AM/ 11,3254.76
9:45 AM/ 11,3424.69
10:00 AM/ 11,3522
10:15 AM/ 11,1971.97
10:30 AM/ 11,3894.58
10:45 AM/ 11,3751.71
11:00 AM/ 11,3392
11:15 AM/ 11,2555.14
11:30 AM/ 11,3095.92
11:45 AM/ 11,3415.24
12:00 PM/ 11,3986.19
12:15 PM/ 11,4331.43
12:30 PM/ 11,4255.92
12:45 PM/ 11,3225.03
1:00 PM/ 11,3091.24
1:15 PM/ 11,3296.45
1:30 PM/ 11,3126.4
1:45 PM/ 11,2906.51
2:00 PM/ 11,2402.32
2:15 PM/ 11,2615.57
2:30 PM/ 11,2861.92
2:45 PM/ 11,2421.36
3:00 PM/ 11,1069.6
3:15 PM/ 11,2014.44
3:30 PM/ 11,3371.97
3:45 PM/ 11,2584.61
4:00 PM/ 11,2226.95
4:15 PM/ 11,2396.68
4:30 PM/ 11,2259.73
4:45 PM/ 11,1900.9
5:00 PM/ 11,1500.19
5:15 PM/ 11,1474.56
5:30 PM/ 11,967.58
5:45 PM/ 11,834.51
6:00 PM/ 11,764.95
6:15 PM/ 11,590.94
6:30 PM/ 11,528.4
6:45 PM/ 11,296.92
7:00 PM/ 11,321.45
7:15 PM/ 11,243.39
7:30 PM/ 11,178.52
7:45 PM/ 11,145.14
8:00 PM/ 11,116.03
8:15 PM/ 11,118.99
8:30 PM/ 11,78.78
8:45 PM/ 11,35.22
9:00 PM/ 11,6.6
9:15 PM/ 11,0
9:30 PM/ 11,
9:45 PM/ 11,
10:00 PM/ 11,
10:15 PM/ 11,
10:30 PM/ 11,
10:45 PM/ 11,
11:00 PM/ 11,
11:15 PM/ 11,
11:30 PM/ 11,
11:45 PM/ 11,
12:00 AM/ 12,
12:15 AM/ 12,
