Time ,Power_predicted(W),Power_actual(W)
1,0,0
2,-47.639626,0
3,-47.639626,0
4,-46.909782,5.29
5,61.122963,165.4275
6,564.86194,711.025
7,1282.779,1329.535
8,1786.6498,2102.255
9,2197.0156,2828.025
10,2567.8977,3591.8675
11,2708.446,3456.775
12,2862.4229,2686.3775
13,2773.9385,2552.3325
14,2278.5532,2913.34
15,1971.9324,2245.425
16,1409.0991,911.57
17,915.67114,898.765
18,690.3722,347.6525
19,52.055027,167.8575
20,26.824415,46.0225
21,-37.542248,0
22,-47.52,0
23,-47.639626,0
24,-47.639626,0
