12:15 AM/ 10,0
12:30 AM/ 10,0
12:45 AM/ 10,0
1:00 AM/ 10,0
1:15 AM/ 10,0
1:30 AM/ 10,0
1:45 AM/ 10,0
2:00 AM/ 10,0
2:15 AM/ 10,0.02
2:30 AM/ 10,0
2:45 AM/ 10,0
3:00 AM/ 10,0
3:15 AM/ 10,0
3:30 AM/ 10,0
3:45 AM/ 10,0
4:00 AM/ 10,0
4:15 AM/ 10,0
4:30 AM/ 10,0
4:45 AM/ 10,0
5:00 AM/ 10,2.39
5:15 AM/ 10,9.19
5:30 AM/ 10,16.46
5:45 AM/ 10,23.64
6:00 AM/ 10,34.7
6:15 AM/ 10,56.95
6:30 AM/ 10,88.78
6:45 AM/ 10,132.27
7:00 AM/ 10,185.37
7:15 AM/ 10,257.46
7:30 AM/ 10,289.5
7:45 AM/ 10,345.78
8:00 AM/ 10,404.97
8:15 AM/ 10,466.15
8:30 AM/ 10,490.68
8:45 AM/ 10,586.6
9:00 AM/ 10,651.92
9:15 AM/ 10,697.22
9:30 AM/ 10,775.35
9:45 AM/ 10,822.07
10:00 AM/ 10,284.08
10:15 AM/ 10,194.87
10:30 AM/ 10,228.03
10:45 AM/ 10,80.8
11:00 AM/ 10,85.89
11:15 AM/ 10,264.75
11:30 AM/ 10,279.84
11:45 AM/ 10,270.82
12:00 PM/ 10,160.34
12:15 PM/ 10,135.31
12:30 PM/ 10,119.45
12:45 PM/ 10,251.36
1:00 PM/ 10,503
1:15 PM/ 10,1023.3
1:30 PM/ 10,798.47
1:45 PM/ 10,542.44
2:00 PM/ 10,730.29
2:15 PM/ 10,948.72
2:30 PM/ 10,905.45
2:45 PM/ 10,842.2
3:00 PM/ 10,794.63
3:15 PM/ 10,612.83
3:30 PM/ 10,548.47
3:45 PM/ 10,262.02
4:00 PM/ 10,228.54
4:15 PM/ 10,95.68
4:30 PM/ 10,43.76
4:45 PM/ 10,155.36
5:00 PM/ 10,61.67
5:15 PM/ 10,107.1
5:30 PM/ 10,253.13
5:45 PM/ 10,150.71
6:00 PM/ 10,126.79
6:15 PM/ 10,91.54
6:30 PM/ 10,65.35
6:45 PM/ 10,69.96
7:00 PM/ 10,58.47
7:15 PM/ 10,52.8
7:30 PM/ 10,46.54
7:45 PM/ 10,50.2
8:00 PM/ 10,57.69
8:15 PM/ 10,37.04
8:30 PM/ 10,22.4
8:45 PM/ 10,10.67
9:00 PM/ 10,3.32
9:15 PM/ 10,0.08
9:30 PM/ 10,
9:45 PM/ 10,
10:00 PM/ 10,
10:15 PM/ 10,
10:30 PM/ 10,
10:45 PM/ 10,
11:00 PM/ 10,
11:15 PM/ 10,
11:30 PM/ 10,
11:45 PM/ 10,
12:00 AM/ 11,
12:15 AM/ 11,
