 ;PV PWr / Power / Mean Values  [kW]0
12:15 AM;
12:30 AM;
12:45 AM;
1:00 AM;
1:15 AM;
1:30 AM;
1:45 AM;
2:00 AM;
2:15 AM;
2:30 AM;
2:45 AM;
3:00 AM;
3:15 AM;
3:30 AM;
3:45 AM;
4:00 AM;
4:15 AM;
4:30 AM;
4:45 AM;0.000
5:00 AM;0.000
5:15 AM;0.026
5:30 AM;0.081
5:45 AM;0.132
6:00 AM;0.192
6:15 AM;0.529
6:30 AM;0.843
6:45 AM;1.237
7:00 AM;1.773
7:15 AM;2.692
7:30 AM;2.759
7:45 AM;3.338
8:00 AM;4.070
8:15 AM;4.621
8:30 AM;4.715
8:45 AM;5.685
9:00 AM;6.280
9:15 AM;6.807
9:30 AM;7.847
9:45 AM;8.706
10:00 AM;3.378
10:15 AM;2.514
10:30 AM;2.877
10:45 AM;1.000
11:00 AM;1.239
11:15 AM;3.672
11:30 AM;3.795
11:45 AM;3.546
12:00 PM;2.096
12:15 PM;1.860
12:30 PM;1.699
12:45 PM;3.394
1:00 PM;6.332
1:15 PM;12.214
1:30 PM;9.230
1:45 PM;6.531
2:00 PM;8.939
2:15 PM;11.534
2:30 PM;11.031
2:45 PM;10.480
3:00 PM;10.182
3:15 PM;8.064
3:30 PM;7.516
3:45 PM;3.636
4:00 PM;3.309
4:15 PM;1.201
4:30 PM;0.595
4:45 PM;2.423
5:00 PM;0.733
5:15 PM;1.538
5:30 PM;5.968
5:45 PM;3.704
6:00 PM;3.676
6:15 PM;2.677
6:30 PM;1.622
6:45 PM;2.668
7:00 PM;2.432
7:15 PM;2.143
7:30 PM;1.764
7:45 PM;1.209
8:00 PM;0.889
8:15 PM;0.557
8:30 PM;0.242
8:45 PM;0.087
9:00 PM;0.019
9:15 PM;0.000
9:30 PM;
9:45 PM;
10:00 PM;
10:15 PM;
10:30 PM;
10:45 PM;
11:00 PM;
11:15 PM;
11:30 PM;
11:45 PM;
12:00 AM;
